strategy,tf,IS_ret_%,IS_sharpe,IS_dd_%,OOS_ret_%,OOS_sharpe,OOS_dd_%,min_sharpe,min_ret,max_abs_dd,score
Mom_ROC_90,1D,943.7,1.87,-68.1,201.5,2.14,-26.8,1.87,201.5,68.1,4.942160926006996
DualMomentum_30_90,4h,663.8,2.19,-34.5,93.9,1.72,-23.7,1.72,93.9,34.5,4.785373106622837
Mom_ROC_90_LO,1D,584.7,1.67,-64.3,133.7,1.81,-26.8,1.67,133.7,64.3,3.368056628005263
Supertrend_10_3_LO,4h,266.3,1.41,-45.7,93.8,1.62,-33.4,1.41,93.8,45.7,2.9276368264564896
Weekend_Effect,1h,161.1,1.02,-40.7,156.0,2.21,-26.7,1.02,156.0,40.7,2.755016458016111
SMA_50_200_LO,4h,393.6,1.54,-61.7,90.1,1.51,-42.1,1.51,90.1,61.7,2.2481494316358566
Turtle_20_10_LO,1D,425.5,1.78,-41.0,65.4,1.26,-36.4,1.26,65.4,41.0,2.2140011317285415
DualMomentum_30_90,1D,619.4,2.0,-41.8,70.9,1.28,-44.3,1.28,70.9,44.3,2.1696762648259877
Keltner_BO_LO,1h,246.5,1.35,-53.7,83.5,1.48,-26.0,1.35,83.5,53.7,2.044086773768037
Mom_ROC_90_LO,4h,502.8,1.75,-63.2,82.9,1.44,-40.7,1.44,82.9,63.2,1.7801985903645396
EMA200_filter,4h,282.2,1.35,-70.3,131.5,1.87,-33.9,1.35,131.5,70.3,1.7635415946910475
Weekend_Effect,4h,120.9,0.92,-49.4,171.9,2.35,-21.2,0.92,120.9,49.4,1.2896528699608205
SMA_50_200_LO,1h,434.7,1.6,-55.2,58.9,1.2,-39.0,1.2,58.9,55.2,1.0042572247644825
Turtle_20_10_LO,4h,165.3,1.15,-54.4,55.5,1.23,-32.0,1.15,55.5,54.4,0.8137564707025773
SMA_50_200,4h,339.6,1.31,-59.1,66.7,1.14,-43.5,1.14,66.7,59.1,0.6594649841647546
Turtle_20_10,4h,185.5,1.04,-54.4,60.8,1.07,-46.5,1.04,60.8,54.4,0.4854424858921766
Supertrend_10_3_LO,1D,151.1,1.07,-60.9,70.1,1.23,-42.6,1.07,70.1,60.9,0.33897393920920976
EMA200_filter,1D,306.8,1.29,-71.9,68.9,1.17,-35.2,1.17,68.9,71.9,0.009754160371973963
Mom_ROC_90,4h,390.1,1.38,-62.7,55.7,1.02,-37.9,1.02,55.7,62.7,-0.18568604742130235
BuyAndHold,4h,304.5,1.21,-83.7,89.2,1.3,-51.6,1.21,89.2,83.7,-0.25667504252379114
BuyAndHold,1h,310.1,1.21,-83.7,89.2,1.29,-52.1,1.21,89.2,83.7,-0.25667504252379114
BuyAndHold,5m,310.9,1.2,-83.8,88.4,1.26,-52.8,1.2,88.4,83.8,-0.3128323876433319
BuyAndHold,1D,283.3,1.19,-82.9,81.7,1.21,-48.2,1.19,81.7,82.9,-0.39923811291117695
Keltner_BO_LO,4h,993.8,2.32,-43.6,36.8,0.87,-53.4,0.87,36.8,53.4,-0.464235894181419
Supertrend_10_3,4h,70.7,0.74,-59.9,81.0,1.26,-29.3,0.74,70.7,59.9,-0.8235348159082396
Turtle_20_10_LO,1h,162.6,1.14,-62.4,33.8,0.88,-40.6,0.88,33.8,62.4,-1.033811480853423
EMA200_filter,1h,316.0,1.42,-49.4,23.4,0.67,-49.7,0.67,23.4,49.7,-1.1919957574505837
SMA_50_200,1h,302.7,1.22,-50.2,21.1,0.62,-44.2,0.62,21.1,50.2,-1.4461397899722792
Supertrend_10_3_LO,1h,493.6,1.71,-54.4,21.6,0.64,-37.9,0.64,21.6,54.4,-1.6248212121611683
Turtle_20_10,1D,58.9,0.71,-72.9,67.2,1.12,-40.4,0.71,58.9,72.9,-1.9294867216775398
Mom_ROC_90_LO,1h,405.8,1.56,-52.7,13.8,0.51,-39.6,0.51,13.8,52.7,-2.127466739487747
Weekend_Effect,1D,321.5,1.45,-57.4,15.6,0.54,-44.3,0.54,15.6,57.4,-2.2794851925569795
Turtle_55_20,1D,234.6,1.16,-67.8,22.7,0.64,-61.6,0.64,22.7,67.8,-2.441295478294979
Donchian_Volume,1h,262.3,1.2,-52.4,0.1,0.29,-47.7,0.29,0.1,52.4,-3.146263267272174
Donchian_Volume,4h,201.4,1.11,-59.3,0.8,0.3,-57.3,0.3,0.8,59.3,-3.527195198377368
Keltner_BO_LO,1D,16.9,0.46,-77.3,71.5,1.21,-47.0,0.46,16.9,77.3,-3.7964212727103694
Donchian_Volume,1D,8.6,0.48,-79.5,142.1,1.85,-33.3,0.48,8.6,79.5,-3.988582938002904
SMA_50_200,1D,344.0,1.32,-79.3,7.5,0.38,-38.2,0.38,7.5,79.3,-4.367357475257084
