strategy,trades,trades/yr,ret_%,cagr_%,sharpe,max_dd_%,win_%,avg_trade_%,pf
OR_Breakout_LO,1701,425.5,823.3,74.4,1.3,-57.6,33.8,0.162,1.23
BuyAndHold,1,0.3,1143.0,87.8,1.16,-83.8,100.0,1143.02,999.0
sw_BuyAndHold,1,0.3,1143.0,87.8,1.16,-83.8,100.0,1143.02,999.0
sw_Weekend,196,49.0,507.2,57.0,1.03,-48.9,55.6,1.17,1.6
Session_Mom_All,2095,524.1,305.7,42.0,0.84,-54.9,28.2,0.113,1.14
OR_Breakout_LS,3387,847.3,140.2,24.5,0.67,-70.4,30.4,0.055,1.08
Session_Mom_US,1529,382.5,125.7,22.6,0.64,-60.9,29.2,0.1,1.12
sw_EMA200_filter,2614,653.9,77.7,15.5,0.54,-61.5,13.5,0.046,1.12
sw_DualMom_30_90,4959,1240.6,62.6,12.9,0.49,-56.3,28.8,0.017,1.06
sw_Supertrend_LO,1818,454.8,2.6,0.6,0.3,-64.8,33.1,0.029,1.04
BO_Pullback_Entry,2198,549.9,-17.4,-4.7,0.13,-74.4,44.2,0.007,1.01
VolFilt_Donchian_LO,714,178.6,-40.4,-12.1,-0.04,-72.5,36.1,-0.031,0.97
Boll_Pullback,1522,380.8,-21.7,-5.9,-0.09,-51.1,58.3,-0.008,0.98
VolFilt_Donchian,1206,301.7,-79.4,-32.7,-0.27,-89.3,33.8,-0.085,0.91
ATR_BO_LO,3997,999.9,-62.3,-21.6,-0.42,-66.1,42.6,-0.017,0.95
sw_Turtle_LO,1983,496.1,-86.0,-38.8,-0.73,-88.7,32.7,-0.082,0.87
ATR_BO_LS,6722,1681.7,-97.8,-61.5,-1.28,-98.1,40.0,-0.048,0.88
MACD_Trend_Filter,7742,1936.8,-99.3,-71.5,-1.56,-99.6,26.1,-0.057,0.85
