strategy,trades,trades/yr,ret_%,cagr_%,sharpe,max_dd_%,win_%,avg_trade_%,pf
sw_Weekend,52,52.2,185.2,186.2,2.42,-29.0,53.8,2.265,2.57
OR_Breakout_LO,416,417.4,124.7,125.3,1.99,-29.2,32.2,0.222,1.38
OR_Breakout_LS,844,846.9,111.4,111.9,1.5,-27.6,30.6,0.112,1.19
VolFilt_Donchian_LO,205,205.7,69.3,69.6,1.46,-33.1,33.7,0.306,1.39
sw_BuyAndHold,1,1.0,89.0,89.4,1.27,-52.6,100.0,88.952,999.0
BuyAndHold,1,1.0,89.0,89.4,1.27,-52.6,100.0,88.952,999.0
Boll_Pullback,440,441.5,28.5,28.7,1.24,-13.3,64.1,0.063,1.21
sw_Supertrend_LO,519,520.8,56.1,56.3,1.16,-33.3,30.3,0.105,1.21
sw_EMA200_filter,620,622.1,41.9,42.1,0.95,-41.5,11.9,0.077,1.23
VolFilt_Donchian,342,343.2,41.0,41.2,0.92,-40.3,33.0,0.143,1.17
Session_Mom_US,415,416.4,22.5,22.6,0.64,-37.4,25.3,0.087,1.12
sw_DualMom_30_90,1277,1281.4,17.0,17.0,0.57,-46.6,27.1,0.021,1.08
Session_Mom_All,576,578.0,8.2,8.3,0.44,-43.8,24.7,0.05,1.07
BO_Pullback_Entry,581,583.0,-5.5,-5.5,0.05,-48.3,38.0,0.004,1.01
ATR_BO_LO,990,993.4,-5.1,-5.1,0.04,-24.4,40.3,0.002,1.01
sw_Turtle_LO,531,532.8,-14.8,-14.8,-0.13,-43.3,27.1,-0.01,0.98
MACD_Trend_Filter,1965,1971.7,-36.1,-36.2,-0.59,-44.5,26.2,-0.017,0.95
ATR_BO_LS,1743,1749.0,-50.5,-50.6,-1.17,-56.6,39.2,-0.033,0.91
