strategy,trades,trades/yr,ret_%,cagr_%,sharpe,max_dd_%,win_%,avg_trade_%,pf
BuyAndHold,1,0.3,1142.9,87.8,1.16,-83.8,100.0,1142.91,999.0
sw_BuyAndHold,1,0.3,1142.9,87.8,1.16,-83.8,100.0,1142.91,999.0
sw_Weekend,196,49.0,390.1,48.8,0.94,-51.7,54.6,1.06,1.53
OR_Breakout_LO,1701,425.5,42.3,9.2,0.43,-74.2,32.1,0.052,1.07
Session_Mom_All,2095,524.1,-59.5,-20.3,0.11,-78.2,26.0,0.003,1.0
Session_Mom_US,1529,382.5,-58.1,-19.5,0.06,-75.6,27.2,-0.01,0.99
VolFilt_Donchian_LO,714,178.6,-72.9,-27.8,-0.45,-82.3,33.5,-0.141,0.86
OR_Breakout_LS,3387,847.3,-94.2,-51.0,-0.5,-97.1,28.8,-0.055,0.93
sw_Supertrend_LO,1818,454.8,-86.1,-39.0,-0.59,-89.2,30.6,-0.081,0.89
sw_EMA200_filter,2614,653.9,-90.0,-43.8,-0.75,-91.2,10.7,-0.064,0.86
VolFilt_Donchian,1206,301.7,-94.6,-51.7,-0.77,-96.1,31.2,-0.195,0.82
BO_Pullback_Entry,2198,549.9,-92.7,-48.0,-1.19,-93.4,39.7,-0.103,0.84
Boll_Pullback,1522,380.8,-85.3,-38.1,-1.63,-88.6,52.8,-0.118,0.74
sw_Turtle_LO,1983,496.1,-98.4,-64.6,-1.82,-98.7,29.2,-0.192,0.73
sw_DualMom_30_90,4959,1240.6,-99.3,-71.2,-2.34,-99.4,20.5,-0.093,0.74
ATR_BO_LO,3997,999.9,-99.5,-73.9,-3.19,-99.6,34.8,-0.127,0.7
ATR_BO_LS,6722,1681.7,-100.0,-94.0,-4.32,-100.0,33.5,-0.158,0.67
MACD_Trend_Filter,7742,1936.8,-100.0,-96.6,-4.76,-100.0,21.8,-0.167,0.64
