strategy,trades,trades/yr,ret_%,cagr_%,sharpe,max_dd_%,win_%,avg_trade_%,pf
sw_Weekend,52,52.2,169.6,170.5,2.3,-29.3,50.0,2.155,2.44
BuyAndHold,1,1.0,88.8,89.3,1.27,-52.6,100.0,88.842,999.0
sw_BuyAndHold,1,1.0,88.8,89.3,1.27,-52.6,100.0,88.842,999.0
OR_Breakout_LO,416,417.4,42.3,42.4,0.99,-33.7,31.2,0.112,1.17
VolFilt_Donchian_LO,205,205.7,35.2,35.3,0.92,-36.5,32.2,0.196,1.23
VolFilt_Donchian,342,343.2,-3.2,-3.2,0.2,-46.2,31.9,0.033,1.04
OR_Breakout_LS,844,846.9,-16.5,-16.5,0.03,-40.3,29.3,0.002,1.0
sw_Supertrend_LO,519,520.8,-11.8,-11.8,-0.01,-47.1,26.4,-0.005,0.99
Session_Mom_US,415,416.4,-22.4,-22.5,-0.15,-43.0,23.4,-0.023,0.97
sw_EMA200_filter,620,622.1,-28.3,-28.3,-0.4,-57.7,10.3,-0.033,0.92
Session_Mom_All,576,578.0,-42.6,-42.7,-0.55,-56.2,22.9,-0.06,0.93
Boll_Pullback,440,441.5,-20.8,-20.8,-0.93,-27.1,59.8,-0.047,0.86
sw_Turtle_LO,531,532.8,-52.5,-52.6,-1.43,-55.8,23.4,-0.12,0.81
BO_Pullback_Entry,581,583.0,-50.1,-50.2,-1.57,-60.7,33.2,-0.106,0.82
sw_DualMom_30_90,1277,1281.4,-71.3,-71.4,-2.53,-72.3,17.9,-0.089,0.74
ATR_BO_LO,990,993.4,-68.1,-68.2,-2.9,-68.5,32.1,-0.108,0.73
MACD_Trend_Filter,1965,1971.7,-92.7,-92.7,-4.65,-92.7,22.0,-0.127,0.68
ATR_BO_LS,1743,1749.0,-92.7,-92.8,-5.0,-92.8,32.2,-0.143,0.66
