strategy,trades,trades/yr,ret_%,cagr_%,sharpe,max_dd_%,win_%,avg_trade_%,pf
sw_Supertrend_LO,336,84.1,2862.0,133.4,1.81,-50.9,43.8,1.181,1.93
Session_Mom_US,402,100.6,6210.9,182.1,1.81,-41.7,34.6,1.242,1.89
BO_Pullback_Entry,513,128.3,1503.4,100.2,1.76,-38.0,51.9,0.616,1.61
Session_Mom_All,456,114.1,3226.7,140.3,1.55,-42.2,34.0,0.979,1.64
sw_Turtle_LO,414,103.6,1083.6,85.6,1.49,-57.3,43.2,0.695,1.67
sw_DualMom_30_90,1118,279.7,835.4,74.9,1.43,-41.9,35.9,0.236,1.47
sw_EMA200_filter,547,136.8,1066.4,84.9,1.39,-43.7,14.1,0.595,1.82
OR_Breakout_LO,866,216.6,564.5,60.6,1.25,-58.5,51.0,0.263,1.31
sw_BuyAndHold,1,0.3,1141.3,87.8,1.17,-83.7,100.0,1141.292,999.0
BuyAndHold,1,0.3,1141.3,87.8,1.17,-83.7,100.0,1141.292,999.0
sw_Weekend,196,49.0,534.1,58.7,1.06,-40.1,60.2,1.187,1.6
MACD_Trend_Filter,1789,447.6,497.9,56.4,1.05,-46.1,30.5,0.137,1.2
VolFilt_Donchian_LO,170,42.5,183.2,29.8,0.78,-51.7,44.7,0.817,1.48
OR_Breakout_LS,1654,413.8,77.2,15.4,0.55,-85.0,45.8,0.083,1.09
VolFilt_Donchian,282,70.5,52.7,11.2,0.48,-60.9,41.1,0.333,1.17
ATR_BO_LS,1524,381.3,38.7,8.5,0.42,-53.8,44.7,0.056,1.07
ATR_BO_LO,898,224.7,13.0,3.1,0.27,-58.6,46.2,0.043,1.06
Boll_Pullback,413,103.3,4.9,1.2,0.18,-29.4,58.6,0.04,1.05
