strategy,trades,trades/yr,ret_%,cagr_%,sharpe,max_dd_%,win_%,avg_trade_%,pf
sw_Weekend,52,52.2,170.8,171.7,2.33,-26.3,55.8,2.171,2.44
OR_Breakout_LO,222,222.8,96.2,96.6,1.94,-16.3,48.2,0.341,1.47
VolFilt_Donchian,66,66.2,115.3,115.9,1.77,-35.8,43.9,1.418,2.08
BuyAndHold,1,1.0,89.3,89.7,1.29,-52.1,100.0,89.264,999.0
sw_BuyAndHold,1,1.0,89.3,89.7,1.29,-52.1,100.0,89.264,999.0
sw_Turtle_LO,111,111.4,51.1,51.4,1.15,-38.1,35.1,0.466,1.41
sw_EMA200_filter,174,174.6,49.4,49.6,1.05,-43.4,11.5,0.322,1.57
VolFilt_Donchian_LO,47,47.2,43.5,43.6,1.04,-40.3,40.4,1.076,1.63
Session_Mom_US,113,113.4,44.5,44.7,0.91,-43.4,33.6,0.494,1.32
OR_Breakout_LS,454,455.6,39.3,39.5,0.88,-42.2,44.3,0.109,1.13
sw_Supertrend_LO,101,101.3,35.8,36.0,0.87,-35.6,32.7,0.424,1.28
Session_Mom_All,125,125.4,32.7,32.9,0.77,-44.9,30.4,0.388,1.25
sw_DualMom_30_90,287,288.0,14.5,14.5,0.53,-26.8,30.0,0.082,1.15
MACD_Trend_Filter,511,512.8,13.8,13.9,0.51,-35.7,26.6,0.048,1.08
ATR_BO_LO,225,225.8,4.9,4.9,0.31,-27.6,43.6,0.048,1.07
ATR_BO_LS,386,387.3,1.5,1.5,0.26,-37.8,44.6,0.031,1.04
Boll_Pullback,119,119.4,-2.2,-2.2,0.02,-20.5,58.8,0.005,1.01
BO_Pullback_Entry,134,134.5,-29.6,-29.7,-0.8,-42.2,39.6,-0.208,0.84
