strategy,trades,trades/yr,ret_%,cagr_%,sharpe,max_dd_%,win_%,avg_trade_%,pf
Session_Mom_US,402,100.6,3969.6,152.7,1.65,-42.8,33.6,1.132,1.77
sw_Supertrend_LO,336,84.1,1952.8,113.0,1.64,-54.4,42.3,1.071,1.8
BO_Pullback_Entry,513,128.3,814.1,73.9,1.45,-45.6,50.9,0.506,1.48
Session_Mom_All,456,114.1,1919.8,112.1,1.38,-43.1,32.7,0.869,1.54
sw_Turtle_LO,414,103.6,652.2,65.7,1.26,-62.4,40.8,0.585,1.53
BuyAndHold,1,0.3,1141.2,87.8,1.17,-83.7,100.0,1141.182,999.0
sw_BuyAndHold,1,0.3,1141.2,87.8,1.17,-83.7,100.0,1141.182,999.0
sw_EMA200_filter,547,136.8,540.1,59.1,1.12,-49.4,12.2,0.485,1.59
sw_Weekend,196,49.0,411.8,50.5,0.98,-40.7,59.2,1.077,1.53
sw_DualMom_30_90,1118,279.7,173.8,28.7,0.77,-56.4,28.8,0.126,1.22
OR_Breakout_LO,866,216.6,156.6,26.6,0.74,-65.6,47.8,0.153,1.17
VolFilt_Donchian_LO,170,42.5,135.1,23.8,0.68,-54.1,43.5,0.707,1.4
VolFilt_Donchian,282,70.5,11.9,2.9,0.36,-65.0,40.8,0.223,1.11
MACD_Trend_Filter,1789,447.6,-16.4,-4.4,0.23,-70.5,28.6,0.027,1.03
OR_Breakout_LS,1654,413.8,-71.3,-26.8,-0.11,-93.6,42.9,-0.027,0.97
Boll_Pullback,413,103.3,-33.4,-9.7,-0.23,-39.4,56.2,-0.07,0.92
ATR_BO_LS,1524,381.3,-74.1,-28.7,-0.33,-84.2,41.3,-0.054,0.94
ATR_BO_LO,898,224.7,-58.0,-19.5,-0.35,-66.3,42.5,-0.067,0.91
