strategy,trades,trades/yr,ret_%,cagr_%,sharpe,max_dd_%,win_%,avg_trade_%,pf
sw_Weekend,52,52.2,156.0,156.8,2.21,-26.7,55.8,2.061,2.32
VolFilt_Donchian,66,66.2,100.4,100.9,1.63,-37.1,40.9,1.308,1.95
OR_Breakout_LO,222,222.8,53.7,54.0,1.31,-18.9,45.5,0.231,1.3
BuyAndHold,1,1.0,89.2,89.6,1.29,-52.1,100.0,89.154,999.0
sw_BuyAndHold,1,1.0,89.2,89.6,1.29,-52.1,100.0,89.154,999.0
VolFilt_Donchian_LO,47,47.2,36.3,36.4,0.92,-41.5,36.2,0.966,1.55
sw_Turtle_LO,111,111.4,33.8,33.9,0.88,-40.6,34.2,0.356,1.29
Session_Mom_US,113,113.4,27.6,27.7,0.71,-44.0,31.9,0.384,1.24
sw_EMA200_filter,174,174.6,23.4,23.5,0.67,-49.7,10.3,0.212,1.32
sw_Supertrend_LO,101,101.3,21.6,21.7,0.64,-37.9,32.7,0.314,1.2
Session_Mom_All,125,125.4,15.7,15.8,0.55,-45.5,29.6,0.278,1.17
OR_Breakout_LS,454,455.6,-15.4,-15.5,-0.02,-47.5,41.9,-0.001,1.0
sw_DualMom_30_90,287,288.0,-16.5,-16.6,-0.2,-33.1,21.6,-0.028,0.96
ATR_BO_LO,225,225.8,-18.1,-18.2,-0.4,-36.2,40.0,-0.062,0.92
Boll_Pullback,119,119.4,-14.2,-14.2,-0.53,-21.5,56.3,-0.105,0.86
MACD_Trend_Filter,511,512.8,-35.1,-35.2,-0.63,-45.6,25.0,-0.062,0.91
ATR_BO_LS,386,387.3,-33.6,-33.7,-0.65,-43.7,40.7,-0.079,0.9
BO_Pullback_Entry,134,134.5,-39.3,-39.4,-1.21,-46.0,38.1,-0.318,0.76
