year,strategy,ret_%,sharpe,max_dd_%,liqs
2015,DualMom_30_90,175.2,1.48,-73.2,0
2015,Supertrend_10_3_LO,474.1,2.14,-52.6,0
2015,EMA200_filter,70.9,1.05,-66.4,0
2015,Weekend_Effect,131.7,1.3,-76.9,0
2015,Turtle_20_10_LO,339.0,1.9,-65.1,0
2015,BuyAndHold,-94.9,0.3,-99.4,1
2016,DualMom_30_90,399.8,2.75,-33.8,0
2016,Supertrend_10_3_LO,123.8,1.43,-44.5,0
2016,EMA200_filter,364.8,1.84,-46.8,0
2016,Weekend_Effect,28.2,0.76,-56.1,0
2016,Turtle_20_10_LO,87.5,1.23,-53.3,0
2016,BuyAndHold,361.3,1.71,-58.4,0
2017,DualMom_30_90,13095.8,4.11,-48.7,0
2017,Supertrend_10_3_LO,3899.3,3.05,-65.8,0
2017,EMA200_filter,3997.0,3.07,-64.3,0
2017,Weekend_Effect,1197.4,2.27,-80.2,0
2017,Turtle_20_10_LO,1757.2,2.56,-72.9,0
2017,BuyAndHold,3734.6,3.1,-77.0,0
2018,DualMom_30_90,-5.5,0.36,-48.4,0
2018,Supertrend_10_3_LO,-68.0,-0.18,-84.5,0
2018,EMA200_filter,-85.5,-1.28,-91.2,0
2018,Weekend_Effect,-93.4,-0.26,-96.4,0
2018,Turtle_20_10_LO,-84.1,-0.97,-89.6,0
2018,BuyAndHold,-100.0,-1.22,-100.0,4
2019,DualMom_30_90,436.6,2.06,-46.6,0
2019,Supertrend_10_3_LO,302.9,1.72,-66.4,0
2019,EMA200_filter,473.6,2.1,-58.5,0
2019,Weekend_Effect,1148.5,2.52,-52.5,0
2019,Turtle_20_10_LO,112.9,1.23,-60.0,0
2019,BuyAndHold,267.9,1.72,-63.3,0
