L,strategy,trades,ret_%,cagr_%,sharpe,max_dd_%,liqs,final_equity
1,DualMom_30_90,286,3210.0,101.4,1.75,-39.7,0,33.1
1,Supertrend_10_3_LO,109,2114.0,85.9,1.51,-48.1,0,22.14
1,EMA200_filter,160,1769.0,79.7,1.32,-73.5,0,18.69
1,Weekend_Effect,248,940.0,59.8,1.12,-49.4,0,10.4
1,Turtle_20_10_LO,125,1059.0,63.3,1.27,-58.1,0,11.59
1,BuyAndHold,1,2175.0,86.9,1.2,-83.7,0,22.75
2,DualMom_30_90,286,44329.0,238.8,1.92,-57.8,0,444.29
2,Supertrend_10_3_LO,109,15932.0,176.2,1.59,-75.2,0,160.32
2,EMA200_filter,160,7411.0,137.4,1.39,-90.3,0,75.11
2,Weekend_Effect,248,4264.0,112.9,1.23,-80.6,0,43.64
2,Turtle_20_10_LO,125,5654.0,125.0,1.37,-83.4,0,57.54
2,BuyAndHold,1,4351.0,113.8,1.24,-85.9,0,44.51
3,DualMom_30_90,286,262117.0,383.3,1.98,-73.2,0,2622.17
3,Supertrend_10_3_LO,109,42720.0,236.3,1.59,-90.2,0,428.2
3,EMA200_filter,160,11454.0,158.7,1.38,-96.6,0,115.54
3,Weekend_Effect,248,3442.0,104.2,1.3,-96.6,0,35.42
3,Turtle_20_10_LO,125,11812.0,160.3,1.4,-94.5,0,119.12
3,BuyAndHold,2,30.0,5.5,0.86,-99.4,1,1.3
5,DualMom_30_90,286,1480830.0,583.4,2.0,-90.9,0,14809.3
5,Supertrend_10_3_LO,110,1868.0,81.5,1.51,-99.9,1,19.68
5,EMA200_filter,160,3832.0,108.5,1.29,-99.7,0,39.32
5,Weekend_Effect,256,-100.0,-99.2,0.97,-100.0,8,0.0
5,Turtle_20_10_LO,125,2697.0,94.8,1.35,-99.8,0,27.97
5,BuyAndHold,5,-100.0,-86.0,0.59,-100.0,4,0.0
10,DualMom_30_90,289,-100.0,-71.3,1.73,-100.0,6,0.0
10,Supertrend_10_3_LO,122,-100.0,-100.0,1.13,-100.0,17,0.0
10,EMA200_filter,164,-100.0,-99.0,0.85,-100.0,8,0.0
10,Weekend_Effect,313,-100.0,-100.0,0.9,-100.0,71,0.0
10,Turtle_20_10_LO,136,-100.0,-99.9,1.01,-100.0,13,0.0
10,BuyAndHold,11,-100.0,-99.3,0.53,-100.0,10,0.0
