strategy,rule_set,windows,pass_%,fail_daily_%,fail_total_%,fail_target_%,median_days_to_pass,median_max_dd_%,leverage
4h_DualMom_30_90,HyroTrader 25k 1-step,340,37.6,22.1,10.9,20.3,12,-1.74,1
4h_Supertrend_LO,HyroTrader 25k 1-step,340,35.9,25.0,18.8,19.4,10,-2.2,1
4h_EMA200_filter,HyroTrader 25k 1-step,340,38.2,24.4,15.6,10.6,10,-2.01,1
4h_Weekend,HyroTrader 25k 1-step,340,32.9,32.9,18.5,15.6,12,-2.24,1
4h_Turtle_LO,HyroTrader 25k 1-step,340,35.3,24.4,18.2,21.8,10,-2.21,1
1h_OR_Breakout_LO,HyroTrader 25k 1-step,340,30.3,16.8,24.1,28.8,13,-2.84,1
1h_OR_Breakout_LS,HyroTrader 25k 1-step,340,32.1,39.4,20.0,8.5,10,-3.04,1
1h_VolFilt_Donchian,HyroTrader 25k 1-step,340,35.0,35.9,14.1,15.0,14,-2.88,1
1h_VolFilt_Donchian_LO,HyroTrader 25k 1-step,340,32.1,24.1,19.1,23.2,13,-2.3,1
1h_Session_US,HyroTrader 25k 1-step,340,40.3,36.2,17.1,6.5,8,-2.39,1
1h_Weekend,HyroTrader 25k 1-step,340,32.9,34.7,17.9,14.4,12,-2.47,1
1h_BuyAndHold,HyroTrader 25k 1-step,340,33.2,45.6,16.2,5.0,7,-2.53,1
4h_BuyAndHold,HyroTrader 25k 1-step,340,37.9,35.0,20.6,6.5,8,-2.4,1
4h_DualMom_30_90,HyroTrader 25k 1-step,340,34.1,38.8,15.6,3.8,9,-1.88,2
4h_Supertrend_LO,HyroTrader 25k 1-step,340,33.2,45.9,16.2,4.1,9,-2.3,2
4h_EMA200_filter,HyroTrader 25k 1-step,340,30.6,43.5,15.0,2.4,7,-2.06,2
4h_Weekend,HyroTrader 25k 1-step,340,32.9,50.9,15.0,1.2,10,-1.8,2
4h_Turtle_LO,HyroTrader 25k 1-step,340,32.9,43.8,18.5,4.7,9,-2.46,2
1h_OR_Breakout_LO,HyroTrader 25k 1-step,340,40.6,35.3,19.7,4.4,10,-2.76,2
1h_OR_Breakout_LS,HyroTrader 25k 1-step,340,25.9,57.9,15.3,0.9,7,-2.84,2
1h_VolFilt_Donchian,HyroTrader 25k 1-step,340,23.5,57.9,17.1,1.5,9,-2.72,2
1h_VolFilt_Donchian_LO,HyroTrader 25k 1-step,340,25.3,53.2,14.7,5.3,12,-2.62,2
1h_Session_US,HyroTrader 25k 1-step,340,28.2,57.1,14.7,0.0,6,-2.37,2
1h_Weekend,HyroTrader 25k 1-step,340,27.9,61.5,9.7,0.9,9,-2.23,2
1h_BuyAndHold,HyroTrader 25k 1-step,340,30.9,54.7,12.4,2.1,6,-2.42,2
4h_BuyAndHold,HyroTrader 25k 1-step,340,34.7,45.6,17.1,2.6,7,-2.24,2
4h_DualMom_30_90,HyroTrader 25k 1-step,340,25.3,54.7,12.6,0.0,8,-1.81,3
4h_Supertrend_LO,HyroTrader 25k 1-step,340,21.5,60.3,15.9,2.4,7,-2.08,3
4h_EMA200_filter,HyroTrader 25k 1-step,340,26.5,49.7,17.4,0.3,7,-1.56,3
4h_Weekend,HyroTrader 25k 1-step,340,23.5,67.1,9.4,0.0,10,-1.36,3
4h_Turtle_LO,HyroTrader 25k 1-step,340,20.6,58.8,19.1,1.5,7,-2.27,3
1h_OR_Breakout_LO,HyroTrader 25k 1-step,340,30.0,55.3,13.2,1.5,9,-2.82,3
1h_OR_Breakout_LS,HyroTrader 25k 1-step,340,18.8,69.4,11.5,0.3,7,-2.86,3
1h_VolFilt_Donchian,HyroTrader 25k 1-step,340,17.6,69.4,12.6,0.3,8,-2.76,3
1h_VolFilt_Donchian_LO,HyroTrader 25k 1-step,340,19.7,63.8,12.9,2.1,12,-2.8,3
1h_Session_US,HyroTrader 25k 1-step,340,17.4,72.6,10.0,0.0,6,-2.44,3
1h_Weekend,HyroTrader 25k 1-step,340,20.9,75.3,3.8,0.0,8,-2.24,3
1h_BuyAndHold,HyroTrader 25k 1-step,340,31.5,53.2,12.9,2.4,6,-2.5,3
4h_BuyAndHold,HyroTrader 25k 1-step,340,37.4,42.4,16.8,3.5,7,-2.24,3
4h_DualMom_30_90,HyroTrader 25k 1-step,340,14.1,64.7,17.6,0.0,7,-1.2,5
4h_Supertrend_LO,HyroTrader 25k 1-step,340,15.0,67.9,17.1,0.0,7,-1.16,5
4h_EMA200_filter,HyroTrader 25k 1-step,340,16.2,61.8,16.8,0.0,6,-1.18,5
4h_Weekend,HyroTrader 25k 1-step,340,13.5,77.9,8.5,0.0,9,-0.37,5
4h_Turtle_LO,HyroTrader 25k 1-step,340,12.4,72.4,14.7,0.6,6,-1.44,5
1h_OR_Breakout_LO,HyroTrader 25k 1-step,340,20.3,68.5,11.2,0.0,8,-2.56,5
1h_OR_Breakout_LS,HyroTrader 25k 1-step,340,9.7,84.1,6.2,0.0,6,-2.38,5
1h_VolFilt_Donchian,HyroTrader 25k 1-step,340,4.4,88.2,7.4,0.0,6,-2.38,5
1h_VolFilt_Donchian_LO,HyroTrader 25k 1-step,340,8.5,82.4,7.9,0.3,13,-2.67,5
1h_Session_US,HyroTrader 25k 1-step,340,6.5,84.7,8.8,0.0,6,-2.32,5
1h_Weekend,HyroTrader 25k 1-step,340,11.5,85.9,2.6,0.0,8,-2.12,5
1h_BuyAndHold,HyroTrader 25k 1-step,340,29.7,57.1,11.5,1.8,6,-2.44,5
4h_BuyAndHold,HyroTrader 25k 1-step,340,35.6,45.0,16.8,2.6,7,-2.16,5
4h_DualMom_30_90,FundedNext Crypto 2-step P1,340,52.9,14.7,2.4,30.0,9,-1.69,1
4h_Supertrend_LO,FundedNext Crypto 2-step P1,340,49.7,18.8,9.1,22.4,8,-2.18,1
4h_EMA200_filter,FundedNext Crypto 2-step P1,340,51.2,17.4,7.1,24.4,8,-1.88,1
4h_Weekend,FundedNext Crypto 2-step P1,340,47.9,31.2,6.8,14.1,10,-2.22,1
4h_Turtle_LO,FundedNext Crypto 2-step P1,340,50.0,17.9,3.2,28.8,8,-2.19,1
