strategy,trades,tot_ret_%,cagr_%,sharpe,sortino,max_dd_%,win_%,avg_trade_%,pf,kelly,liqs
BuyAndHold,1,650.23,95.97,1.19,1.41,-83.77,100.0,650.2308,999.0,0.0,0
RSI_MR_25_75,857,-82.79,-44.43,-1.21,-0.53,-84.72,54.4,-0.187,0.68,-0.254,0
ZScore_30_2,3027,-97.56,-71.05,-1.24,-1.05,-97.69,61.5,-0.1044,0.82,-0.131,0
Bollinger_MR,3901,-98.49,-75.35,-1.46,-1.26,-98.5,61.1,-0.0939,0.82,-0.133,0
VWAP_Fade_60,1934,-99.48,-82.73,-1.67,-1.61,-99.53,62.7,-0.2363,0.73,-0.226,0
EMA_9_21,4845,-99.84,-88.36,-1.92,-2.48,-99.88,23.0,-0.1147,0.82,-0.051,0
MACD_12_26_9,8084,-100.0,-99.08,-4.6,-6.01,-100.0,28.8,-0.1612,0.72,-0.111,0
Keltner_20_1.5,7343,-100.0,-99.09,-7.82,-5.54,-100.0,18.2,-0.1872,0.5,-0.18,0
DonchianTrend,5161,-99.99,-95.75,-8.32,-3.21,-99.99,23.5,-0.1797,0.47,-0.27,0
Donchian_20,6634,-100.0,-98.22,-9.86,-4.35,-100.0,22.9,-0.1785,0.45,-0.277,0
