strategy,trades,tot_ret_%,cagr_%,sharpe,sortino,max_dd_%,win_%,avg_trade_%,pf,kelly,liqs
BuyAndHold,1,310.89,103.0,1.2,1.42,-83.8,100.0,310.8882,999.0,0.0,0
VWAP_Fade_60,4124,-99.69,-94.44,-2.58,-2.43,-99.69,59.3,-0.1282,0.75,-0.2,0
RSI_MR_25_75,1884,-96.6,-81.62,-3.19,-1.35,-96.63,47.0,-0.1741,0.53,-0.415,0
ZScore_30_2,5924,-99.97,-98.27,-4.14,-3.45,-99.97,55.0,-0.1291,0.68,-0.256,0
Bollinger_MR,7644,-100.0,-99.51,-5.48,-4.71,-100.0,53.3,-0.1327,0.65,-0.288,0
EMA_9_21,9930,-100.0,-99.97,-7.0,-8.88,-100.0,22.3,-0.1535,0.66,-0.116,0
MACD_12_26_9,16030,-100.0,-99.99,-7.75,-10.0,-100.0,29.2,-0.1058,0.72,-0.114,0
Keltner_20_1.5,15954,-100.0,-100.0,-17.69,-13.29,-100.0,16.8,-0.1608,0.42,-0.229,0
DonchianTrend,11603,-100.0,-99.99,-20.01,-8.53,-100.0,21.1,-0.1581,0.37,-0.36,0
Donchian_20,14881,-100.0,-100.0,-24.47,-11.86,-100.0,20.0,-0.1622,0.34,-0.38,0
