strategy,trades,tot_ret_%,cagr_%,sharpe,sortino,max_dd_%,win_%,avg_trade_%,pf,kelly,liqs,leverage
BuyAndHold_x1,1,88.36,88.77,1.26,1.43,-52.78,100.0,88.3587,999.0,0.0,0,1
VWAP_Fade_60_x1,2107,-98.75,-98.77,-6.78,-5.52,-98.77,56.0,-0.1999,0.5,-0.55,0,1
RSI_MR_25_75_x1,1048,-82.25,-82.35,-4.75,-2.08,-82.32,39.8,-0.1614,0.44,-0.508,0,1
BuyAndHold_x3,1,265.38,267.01,1.7,1.96,-64.81,100.0,265.3762,999.0,0.0,0,3
VWAP_Fade_60_x3,2107,-99.97,-99.97,-2.94,-2.4,-99.97,64.4,-0.2997,0.73,-0.243,0,3
RSI_MR_25_75_x3,1048,-89.58,-89.66,-1.49,-0.66,-91.17,57.7,-0.1843,0.74,-0.202,0,3
BuyAndHold_x5,1,442.39,445.55,1.87,2.13,-68.27,100.0,442.3936,999.0,0.0,0,5
VWAP_Fade_60_x5,2108,-100.0,-100.0,-0.56,-0.73,-100.0,65.7,-0.4048,0.78,-0.19,1,5
RSI_MR_25_75_x5,1048,-95.58,-95.63,-0.43,-0.21,-97.59,62.4,-0.2072,0.82,-0.138,0,5
BuyAndHold_x10,2,-43.62,-43.73,1.03,1.03,-98.07,50.0,483.633,11.17,0.455,1,10
VWAP_Fade_60_x10,2125,-100.0,-100.0,-1.97,-1.56,-100.0,66.4,-0.7821,0.79,-0.177,18,10
RSI_MR_25_75_x10,1049,-99.99,-99.99,0.54,0.27,-100.0,64.3,-0.2919,0.87,-0.095,1,10
BuyAndHold_x20,4,-97.79,-97.82,1.34,1.36,-99.97,25.0,485.1281,8.18,0.219,3,20
VWAP_Fade_60_x20,2220,-100.0,-100.0,0.6,0.75,-100.0,65.2,-2.2607,0.73,-0.24,113,20
RSI_MR_25_75_x20,1073,-100.0,-100.0,1.05,0.85,-100.0,65.0,-0.8937,0.83,-0.134,25,20
