strategy,trades,tot_ret_%,cagr_%,sharpe,sortino,max_dd_%,win_%,avg_trade_%,pf,kelly,liqs
BuyAndHold,1,88.36,88.77,1.26,1.43,-52.78,100.0,88.3587,999.0,0.0,0
RSI_MR_25_75,1048,-82.25,-82.35,-4.75,-2.08,-82.32,39.8,-0.1614,0.44,-0.508,0
VWAP_Fade_60,2107,-98.75,-98.77,-6.78,-5.52,-98.77,56.0,-0.1999,0.5,-0.55,0
ZScore_30_2,2992,-98.87,-98.89,-7.29,-5.24,-98.88,52.6,-0.1449,0.52,-0.482,0
Bollinger_MR,3813,-99.77,-99.77,-9.7,-7.08,-99.77,48.7,-0.1547,0.45,-0.586,0
EMA_9_21,4993,-99.94,-99.94,-10.34,-13.82,-99.94,18.8,-0.1437,0.57,-0.144,0
MACD_12_26_9,7983,-100.0,-100.0,-14.57,-20.31,-100.0,23.6,-0.1275,0.56,-0.189,0
Keltner_20_1.5,8399,-100.0,-100.0,-22.73,-21.19,-100.0,12.6,-0.1405,0.37,-0.215,0
DonchianTrend,5638,-99.98,-99.98,-24.57,-12.39,-99.98,13.9,-0.1516,0.27,-0.373,0
Donchian_20,7316,-100.0,-100.0,-28.34,-16.96,-100.0,13.3,-0.1465,0.26,-0.369,0
