strategy,trades,tot_ret_%,cagr_%,sharpe,win_%,avg_trade_%,pf,max_dd_%
MACD_12_26_9,24031,261400.1,1283.5,3.22,36.8,0.0372,1.15,-40.0
BuyAndHold,1,646.5,95.6,1.18,100.0,646.5144,999.0,-83.8
ZScore_30_2,8926,128.2,31.7,0.74,68.4,0.0158,1.05,-65.5
Bollinger_MR,11468,69.1,19.2,0.62,67.3,0.01,1.04,-65.7
EMA_9_21,14935,-60.6,-26.7,0.14,27.6,-0.0003,1.0,-82.5
VWAP_Fade_60,6239,-54.3,-23.0,0.12,67.1,-0.0022,0.99,-87.2
RSI_MR_25_75,2937,-50.6,-21.0,-0.3,64.8,-0.0194,0.93,-55.1
Keltner_20_1.5,24366,-74.5,-36.7,-0.38,30.5,-0.0038,0.97,-95.4
DonchianTrend,17249,-70.2,-33.2,-0.77,40.0,-0.0059,0.95,-94.5
Donchian_20,22213,-82.9,-44.6,-1.11,40.0,-0.0069,0.94,-97.3
