tf,strategy,trades,tot_ret_%,cagr_%,sharpe,sortino,max_dd_%,win_%,avg_trade_%,pf,exposure,split
1h_IS,Supertrend_10_3_LO,179,493.6,144.1,1.71,1.56,-54.4,43.0,1.202,1.73,54.0,IS
1h_IS,SMA_50_200_LO,47,434.7,131.6,1.6,1.46,-55.2,40.4,5.352,2.71,55.7,IS
1h_IS,Mom_ROC_90_LO,350,405.8,125.3,1.56,1.45,-52.7,30.9,0.61,1.63,56.6,IS
1h_IS,EMA200_filter,292,316.0,104.3,1.42,1.31,-49.4,12.7,0.674,1.69,56.7,IS
1h_IS,Keltner_BO_LO,100,246.5,86.4,1.35,1.14,-53.7,45.0,1.535,1.78,50.3,IS
1h_IS,Mom_ROC_90,698,326.3,106.8,1.25,1.6,-50.3,28.2,0.318,1.33,99.5,IS
1h_IS,SMA_50_200,95,302.7,101.0,1.22,1.54,-50.2,37.9,2.575,1.75,98.9,IS
1h_IS,BuyAndHold,1,310.1,102.8,1.21,1.49,-83.7,100.0,310.067,999.0,100.0,IS
1h_IS,Supertrend_10_3,358,296.7,99.5,1.21,1.54,-55.4,39.4,0.59,1.3,100.0,IS
1h_IS,Donchian_Volume,242,262.3,90.6,1.2,1.28,-52.4,39.3,0.767,1.38,75.3,IS
1h_IS,Turtle_20_10_LO,230,162.6,62.2,1.14,0.88,-62.4,41.7,0.527,1.4,41.1,IS
1h_IS,Weekend_Effect,105,161.1,61.7,1.02,0.97,-40.7,58.1,1.227,1.52,57.2,IS
1h_IS,BuyTheDip_Connors,173,52.7,23.6,0.97,0.25,-21.2,69.4,0.263,1.56,5.4,IS
1h_IS,DualMomentum_30_90,563,106.7,43.9,0.94,0.74,-56.4,30.7,0.182,1.25,39.9,IS
1h_IS,Trend_Plus_Dip,54,38.8,17.8,0.82,0.27,-35.0,46.3,0.702,1.48,7.4,IS
1h_IS,Turtle_55_20,340,58.5,26.0,0.72,0.89,-68.3,38.2,0.363,1.16,99.6,IS
1h_IS,Turtle_20_10,648,-62.7,-39.0,-0.04,-0.05,-87.6,35.5,-0.047,0.97,99.9,IS
1h_IS,RSI_30_70,236,-92.1,-72.0,-1.39,-1.14,-93.6,54.2,-0.94,0.55,36.9,IS
1h_IS,USSession_EMA50,1148,-93.2,-74.0,-1.84,-1.38,-93.7,37.6,-0.202,0.77,37.5,IS
1h_IS,LarryWilliams_VBO,3171,-99.9,-96.7,-7.43,-5.02,-99.9,30.6,-0.208,0.52,21.4,IS
1h_OOS,Weekend_Effect,52,156.0,156.8,2.21,2.23,-26.7,55.8,2.061,2.32,57.1,OOS
1h_OOS,Keltner_BO_LO,48,83.5,83.9,1.48,1.34,-26.0,35.4,1.631,1.85,51.9,OOS
1h_OOS,BuyAndHold,1,89.2,89.6,1.29,1.59,-52.1,100.0,89.154,999.0,100.0,OOS
1h_OOS,SMA_50_200_LO,28,58.9,59.1,1.2,1.0,-39.0,39.3,2.222,1.96,49.8,OOS
1h_OOS,Turtle_20_10_LO,111,33.8,33.9,0.88,0.72,-40.6,34.2,0.356,1.29,38.8,OOS
1h_OOS,EMA200_filter,174,23.4,23.5,0.67,0.62,-49.7,10.3,0.212,1.32,53.0,OOS
1h_OOS,Supertrend_10_3_LO,101,21.6,21.7,0.64,0.6,-37.9,32.7,0.314,1.2,51.2,OOS
1h_OOS,SMA_50_200,55,21.1,21.1,0.62,0.69,-44.2,36.4,0.801,1.32,97.7,OOS
1h_OOS,Mom_ROC_90_LO,183,13.8,13.9,0.51,0.45,-39.6,22.4,0.145,1.17,51.7,OOS
1h_OOS,Donchian_Volume,120,0.1,0.1,0.29,0.3,-47.7,32.5,0.172,1.1,71.2,OOS
1h_OOS,Turtle_20_10,308,-12.3,-12.3,0.13,0.17,-49.7,31.2,0.023,1.02,99.7,OOS
1h_OOS,DualMomentum_30_90,287,-16.5,-16.6,-0.2,-0.16,-33.1,21.6,-0.028,0.96,36.0,OOS
1h_OOS,Supertrend_10_3,202,-34.0,-34.1,-0.32,-0.42,-52.9,31.2,-0.106,0.94,100.0,OOS
