tf,strategy,IS_ret_%,IS_sharpe,IS_dd,OOS_ret_%,OOS_sharpe,OOS_dd,trades_total
4h,Weekend_Effect,120.9,0.92,-49.4,171.9,2.35,-21.2,157
1h,Weekend_Effect,161.1,1.02,-40.7,156.0,2.21,-26.7,157
1D,Mom_ROC_90,943.7,1.87,-68.1,201.5,2.14,-26.8,26
4h,EMA200_filter,282.2,1.35,-70.3,131.5,1.87,-33.9,104
1D,Donchian_Volume,8.6,0.48,-79.5,142.1,1.85,-33.3,14
1D,Mom_ROC_90_LO,584.7,1.67,-64.3,133.7,1.81,-26.8,13
4h,DualMomentum_30_90,663.8,2.19,-34.5,93.9,1.72,-23.7,158
4h,Supertrend_10_3_LO,266.3,1.41,-45.7,93.8,1.62,-33.4,73
4h,SMA_50_200_LO,393.6,1.54,-61.7,90.1,1.51,-42.1,18
1h,Keltner_BO_LO,246.5,1.35,-53.7,83.5,1.48,-26.0,148
4h,Mom_ROC_90_LO,502.8,1.75,-63.2,82.9,1.44,-40.7,103
4h,BuyAndHold,304.5,1.21,-83.7,89.2,1.3,-51.6,2
1h,BuyAndHold,310.1,1.21,-83.7,89.2,1.29,-52.1,2
1D,DualMomentum_30_90,619.4,2.0,-41.8,70.9,1.28,-44.3,25
4h,Supertrend_10_3,70.7,0.74,-59.9,81.0,1.26,-29.3,144
1D,Turtle_20_10_LO,425.5,1.78,-41.0,65.4,1.26,-36.4,12
1D,Supertrend_10_3_LO,151.1,1.07,-60.9,70.1,1.23,-42.6,15
4h,Turtle_20_10_LO,165.3,1.15,-54.4,55.5,1.23,-32.0,83
1D,Keltner_BO_LO,16.9,0.46,-77.3,71.5,1.21,-47.0,8
1D,BuyAndHold,283.3,1.19,-82.9,81.7,1.21,-48.2,2
1h,SMA_50_200_LO,434.7,1.6,-55.2,58.9,1.2,-39.0,75
1D,EMA200_filter,306.8,1.29,-71.9,68.9,1.17,-35.2,15
4h,SMA_50_200,339.6,1.31,-59.1,66.7,1.14,-43.5,35
1D,Turtle_20_10,58.9,0.71,-72.9,67.2,1.12,-40.4,38
4h,Turtle_20_10,185.5,1.04,-54.4,60.8,1.07,-46.5,225
4h,Mom_ROC_90,390.1,1.38,-62.7,55.7,1.02,-37.9,206
1h,Turtle_20_10_LO,162.6,1.14,-62.4,33.8,0.88,-40.6,341
4h,Keltner_BO_LO,993.8,2.32,-43.6,36.8,0.87,-53.4,35
1h,EMA200_filter,316.0,1.42,-49.4,23.4,0.67,-49.7,466
1h,Supertrend_10_3_LO,493.6,1.71,-54.4,21.6,0.64,-37.9,280
1D,Turtle_55_20,234.6,1.16,-67.8,22.7,0.64,-61.6,18
1h,SMA_50_200,302.7,1.22,-50.2,21.1,0.62,-44.2,150
1D,Weekend_Effect,321.5,1.45,-57.4,15.6,0.54,-44.3,157
1h,Mom_ROC_90_LO,405.8,1.56,-52.7,13.8,0.51,-39.6,533
1D,SMA_50_200,344.0,1.32,-79.3,7.5,0.38,-38.2,4
4h,Donchian_Volume,201.4,1.11,-59.3,0.8,0.3,-57.3,90
1h,Donchian_Volume,262.3,1.2,-52.4,0.1,0.29,-47.7,362
