n_short,n_long,trades,ret_%,sharpe,max_dd_%
30,90,286,3209.6,1.75,-39.7
30,50,315,3233.4,1.72,-34.8
30,150,277,2746.6,1.71,-49.8
20,50,401,2739.1,1.67,-37.6
30,200,266,1904.5,1.55,-53.5
80,150,191,2127.7,1.46,-59.1
20,150,348,1444.5,1.44,-45.9
50,90,242,1625.2,1.42,-54.7
50,150,240,1502.9,1.42,-54.4
10,90,506,1206.4,1.41,-37.5
10,50,546,1162.5,1.39,-35.5
20,200,347,1234.9,1.37,-48.3
50,200,222,1278.7,1.36,-53.6
20,90,367,1172.9,1.34,-46.2
80,200,177,1262.2,1.3,-57.7
80,90,205,1269.6,1.26,-58.2
10,150,488,883.3,1.25,-51.2
10,200,484,728.5,1.2,-47.9
