name,year,trades,ret_%,sharpe,max_dd_%,win_%
4h_DualMom_30_90,2015,57,60.1,1.26,-34.9,36.8
4h_DualMom_30_90,2016,55,76.3,2.3,-16.3,34.5
4h_DualMom_30_90,2017,50,798.4,3.62,-23.1,44.0
4h_DualMom_30_90,2018,47,-0.2,0.15,-21.4,23.4
4h_DualMom_30_90,2019,58,93.9,1.72,-23.7,29.3
4h_Supertrend_10_3_LO,2015,17,119.6,1.95,-24.7,58.8
4h_Supertrend_10_3_LO,2016,21,44.1,1.41,-21.3,38.1
4h_Supertrend_10_3_LO,2017,25,397.9,2.73,-28.5,68.0
4h_Supertrend_10_3_LO,2018,24,-17.4,-0.17,-37.9,33.3
4h_Supertrend_10_3_LO,2019,24,93.8,1.62,-33.4,45.8
4h_EMA200_filter,2015,30,35.1,0.87,-42.6,13.3
4h_EMA200_filter,2016,26,98.7,1.79,-29.0,23.1
4h_EMA200_filter,2017,34,620.5,2.77,-44.0,20.6
4h_EMA200_filter,2018,46,-46.3,-1.4,-56.4,10.9
4h_EMA200_filter,2019,28,131.5,1.87,-33.9,25.0
4h_Weekend_Effect,2015,48,53.2,1.15,-34.1,58.3
4h_Weekend_Effect,2016,44,13.5,0.57,-23.1,47.7
4h_Weekend_Effect,2017,53,236.2,1.96,-37.0,66.0
4h_Weekend_Effect,2018,53,-36.5,-0.42,-49.4,49.1
4h_Weekend_Effect,2019,52,171.9,2.35,-21.2,53.8
4h_SMA_50_200_LO,2015,7,68.9,1.34,-37.4,42.9
4h_SMA_50_200_LO,2016,6,138.3,2.19,-27.9,50.0
4h_SMA_50_200_LO,2017,4,785.3,2.99,-38.4,100.0
4h_SMA_50_200_LO,2018,8,-44.2,-1.38,-48.0,12.5
4h_SMA_50_200_LO,2019,6,90.1,1.51,-42.1,33.3
4h_Turtle_20_10_LO,2015,19,89.7,1.6,-33.4,47.4
4h_Turtle_20_10_LO,2016,23,34.5,1.21,-24.7,39.1
4h_Turtle_20_10_LO,2017,29,286.8,2.35,-27.8,65.5
4h_Turtle_20_10_LO,2018,27,-36.9,-0.94,-47.1,37.0
4h_Turtle_20_10_LO,2019,27,55.5,1.23,-32.0,33.3
1D_Mom_ROC_90,2015,28,-47.5,-1.08,-69.9,39.3
1D_Mom_ROC_90,2016,4,1.4,0.28,-29.8,50.0
1D_Mom_ROC_90,2017,1,1159.2,3.3,-35.5,100.0
1D_Mom_ROC_90,2018,17,-22.5,-0.2,-44.3,23.5
1D_Mom_ROC_90,2019,4,201.5,2.14,-26.8,75.0
1D_DualMom_30_90,2015,7,26.6,0.84,-23.2,71.4
1D_DualMom_30_90,2016,6,77.9,1.89,-21.3,66.7
1D_DualMom_30_90,2017,6,785.9,3.25,-35.5,83.3
1D_DualMom_30_90,2018,8,-21.5,-1.48,-26.4,25.0
1D_DualMom_30_90,2019,9,70.9,1.28,-44.3,11.1
1D_BuyAndHold,2015,1,36.2,0.81,-42.4,100.0
1D_BuyAndHold,2016,1,122.6,1.74,-26.6,100.0
1D_BuyAndHold,2017,1,1278.1,3.19,-35.5,100.0
1D_BuyAndHold,2018,1,-71.5,-1.09,-81.0,0.0
1D_BuyAndHold,2019,1,81.7,1.21,-48.2,100.0
